edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:23d6e689c814258f07de,source_manifest:c1f834a5eb747d6a015d,source_artifact:a3b2d14f73a6944e5daa,manifest_declares_artifact,,,explicit manifest path and artifact checksum
edge:9e53339d462c856b4ac2,source_manifest:8efcc15a73d4d43bf419,source_artifact:3c803d0b82626170d679,manifest_declares_artifact,,,explicit manifest path and artifact checksum
edge:f1c9eccd8dd2d02a7714,source_manifest:8efcc15a73d4d43bf419,source_artifact:5b60d57510ca563f2783,manifest_declares_artifact,,,explicit manifest path and artifact checksum
edge:062fb38225ff216e7ad8,source_manifest:c1f834a5eb747d6a015d,vintage:c0a2e938ba2212e1aa72,manifest_declares_vintage,,,explicit vintage manifest path and checksum
edge:2463ca28438af08529bd,source_manifest:8efcc15a73d4d43bf419,vintage:26fea14cace77e23d749,manifest_declares_vintage,,,explicit vintage manifest path and checksum
edge:c1535306496fc80e9563,source_manifest:8efcc15a73d4d43bf419,vintage:ee62d93cbabad154b03d,manifest_declares_vintage,,,explicit vintage manifest path and checksum
edge:03cc979a520aca340bfc,observation:be61f5d1cfa355a917f0,indicator_cell:5fd7f1c394470ba4a878,observation_materializes_cell,356dadeceba952eb2a0c,e33e2f8351747300cba7,H6 stable cell_id
edge:0b68d711a0ea7d53c21b,observation:3f64e0aa5f69399e8a04,indicator_cell:932a2e3f54ff599be81b,observation_materializes_cell,09bd4158de9b28a03d83,1c03a76cb6a98f53235d,H6 stable cell_id
edge:0ebd489b721451dc03bc,observation:202f97684ab8629aa916,indicator_cell:ae652356f54e9da22915,observation_materializes_cell,d3d17696ddd6a7bcb743,af12d1ae8c1555d899be,H6 stable cell_id
edge:111a700f07af74b8b8cc,observation:04df2a67b487f338de1b,indicator_cell:932a2e3f54ff599be81b,observation_materializes_cell,5fab5a82719cacffcbe4,1c03a76cb6a98f53235d,H6 stable cell_id
edge:21706f3202685dc5f05d,observation:b9d9aa4f2beeae259666,indicator_cell:08e4d6d55af0774caa62,observation_materializes_cell,cfe502c53f19a90449e6,94651a48df17d3b56a1b,H6 stable cell_id
edge:2272a2b24d7293c8da6d,observation:3b44dd267dadc5b9eb40,indicator_cell:44587469161d5e598f2a,observation_materializes_cell,2766cbe2cf960f73ba05,71a013b45f47a8aefa7d,H6 stable cell_id
edge:2328e5ff37ad08b80430,observation:f99fdeebfc608df3a8bb,indicator_cell:de3c26510b8871e0d687,observation_materializes_cell,e313de2e0e1a97bc17ff,7e097ceb497e25947325,H6 stable cell_id
