event_id,domain,event_kind,indicator_key,series_key,observed_period,geo_level,geo_code,unit,source_values_json,absolute_difference,input_label,rule_id,classification,cause_family,evidence_level,counts_toward_g1,classification_note,original_classification,original_cause_family,original_evidence_level,promoted,evidence_kind,evidence_locator,evidence_note
aaf1d6ac509be82217a5,energy,release_value_difference,sdg07_renewable_share,total,2020,national,9999,percent,"{""bps_tpb_2024"": ""11.20"", ""bps_tpb_2025"": ""11.20"", ""bps_webapi"": ""11.27""}",0.07,release_revision_candidate,R05,vintage_candidate,vintage,candidate,yes,WebAPI and a dated publication differ without two historical WebAPI snapshots,vintage_candidate,vintage,candidate,no,,,
af989395298ff0631a8e,economy,national_province_granularity,sdg08_unemployment,total,2023,national_vs_province,9999,percent,"{""national"": ""5.32"", ""province_count"": ""34"", ""province_unweighted_mean"": ""4.6138""}",0.7062,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
b0924ab436ae7780cbd5,energy,source_value_difference,sdg07_clean_cooking,gas,2021,province,1500,percent,"{""bps_tpb_2024"": ""87.11"", ""bps_webapi"": ""87.12""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
b17b03ceaf164a7a4386,economy,national_province_granularity,sdg08_informal_employment,total,2022,national_vs_province,9999,percent,"{""national"": ""59.31"", ""province_count"": ""34"", ""province_unweighted_mean"": ""59.9491""}",0.6391,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
b1aefd7541d0145d564b,economy,national_province_granularity,sdg08_neet,total,2022,national_vs_province,9999,percent,"{""national"": ""23.22"", ""province_count"": ""34"", ""province_unweighted_mean"": ""23.0021""}",0.2179,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
b3f62c4c241d56a5f205,economy,national_province_granularity,sdg08_hourly_wage,total,2020,national_vs_province,9999,rupiah_per_hour,"{""national"": ""17696"", ""province_count"": ""34"", ""province_unweighted_mean"": ""19537.7647""}",1841.7647,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
b4bea0178464a925b866,environment,national_province_granularity,sdg06_sanitation,total,2022,national_vs_province,9999,percent,"{""national"": ""80.92"", ""province_count"": ""34"", ""province_unweighted_mean"": ""80.9971""}",0.0771,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
b56cfe73c0a6c0cf02a3,education,national_province_granularity,sdg04_completion_rate,sd,2023,national_vs_province,9999,percent,"{""national"": ""97.83"", ""province_count"": ""34"", ""province_unweighted_mean"": ""96.7465""}",1.0835,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
b570bd5d7df03e9328a1,ecology,release_value_difference,sdg15_forest_cover,total,2022,national,9999,percent,"{""bps_tpb_2024"": ""51.20"", ""bps_tpb_2025"": ""51.16""}",0.04,methodology_or_denominator_change_candidate,R06,methodology_observed,methodology,observed,yes,Publication wording or denominator changes together with the value,methodology_candidate,methodology,candidate,yes,published_definition_change,page=162 (TPB 2024);pages=113-114 (TPB 2025),The published numerator changes from forest estate (kawasan hutan) to forest cover (tutupan hutan); TPB 2025 explicitly includes forested land both inside and outside the forest estate
b74ba53e73fdf50ca99a,economy,national_province_granularity,sdg08_productivity_growth,total,2021,national_vs_province,9999,percent,"{""national"": ""1.65"", ""province_count"": ""34"", ""province_unweighted_mean"": ""1.8650""}",0.2150,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
ba9e7530193ec9a0ea05,economy,source_value_difference,sdg08_productivity_growth,total,2021,province,8100,percent,"{""bps_tpb_2024"": ""0.38"", ""bps_webapi"": ""-0.18""}",0.56,candidate_revision,R02,vintage_candidate,vintage,candidate,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,no,,,
bb170d14ad0e811f829e,education,national_province_granularity,sdg04_completion_rate,sma,2022,national_vs_province,9999,percent,"{""national"": ""66.13"", ""province_count"": ""34"", ""province_unweighted_mean"": ""64.6832""}",1.4468,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
bb56fe6858639ffbd69e,economy,source_value_difference,sdg08_productivity_growth,total,2022,province,5300,percent,"{""bps_tpb_2024"": ""-0.72"", ""bps_webapi"": ""-0.69""}",0.03,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=11;printed_note=x;year=2022,TPB 2024 and TPB 2025 preserve the same value and mark the year provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
bd024a7735c2dbeb0e4f,economy,national_province_granularity,sdg08_unemployment,total,2020,national_vs_province,9999,percent,"{""national"": ""7.07"", ""province_count"": ""34"", ""province_unweighted_mean"": ""6.0335""}",1.0365,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
bddaacdb97761f86a5ff,energy,national_province_granularity,sdg07_clean_cooking,gas,2023,national_vs_province,9999,percent,"{""national"": ""86.91"", ""province_count"": ""34"", ""province_unweighted_mean"": ""77.2121""}",9.6979,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
bf862d64be2167ced7f5,education,national_province_granularity,sdg04_completion_rate,smp,2020,national_vs_province,9999,percent,"{""national"": ""87.89"", ""province_count"": ""34"", ""province_unweighted_mean"": ""86.4976""}",1.3924,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
c1e487b16a3cdbd38d17,education,national_province_granularity,sdg04_completion_rate,sd,2022,national_vs_province,9999,percent,"{""national"": ""97.82"", ""province_count"": ""34"", ""province_unweighted_mean"": ""96.9929""}",0.8271,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
c2025f61df676dd42040,economy,national_province_granularity,sdg08_neet,total,2023,national_vs_province,9999,percent,"{""national"": ""22.25"", ""province_count"": ""34"", ""province_unweighted_mean"": ""22.3176""}",0.0676,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
c3bb7b3865d237b384d6,education,national_province_granularity,sdg04_completion_rate,sma,2020,national_vs_province,9999,percent,"{""national"": ""63.95"", ""province_count"": ""34"", ""province_unweighted_mean"": ""64.5832""}",0.6332,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
c8d560f4b638d4f3688e,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,6500,percent,"{""bps_tpb_2024"": ""-0.21"", ""bps_webapi"": ""-0.19""}",0.02,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=12;printed_note=xx;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
c8ff541e9e230e4f5ee2,education,national_province_granularity,sdg04_completion_rate,smp,2022,national_vs_province,9999,percent,"{""national"": ""90.13"", ""province_count"": ""34"", ""province_unweighted_mean"": ""89.5659""}",0.5641,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
c997a8c02e4f1da2f874,environment,national_province_granularity,sdg06_sanitation,total,2021,national_vs_province,9999,percent,"{""national"": ""80.29"", ""province_count"": ""34"", ""province_unweighted_mean"": ""80.9674""}",0.6774,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
cabff335450eb827c3cc,education,national_province_granularity,sdg04_completion_rate,sd,2021,national_vs_province,9999,percent,"{""national"": ""97.37"", ""province_count"": ""34"", ""province_unweighted_mean"": ""96.3671""}",1.0029,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
ce456f24033d29afaaf4,economy,national_province_granularity,sdg08_productivity_growth,total,2023,national_vs_province,9999,percent,"{""national"": ""1.63"", ""province_count"": ""34"", ""province_unweighted_mean"": ""2.4118""}",0.7818,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
d2e45c1995734c357271,environment,national_province_granularity,sdg06_handwashing,total,2023,national_vs_province,9999,percent,"{""national"": ""80.15"", ""province_count"": ""34"", ""province_unweighted_mean"": ""77.5847""}",2.5653,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
d58da0cca51ac851b101,economy,national_province_granularity,sdg08_unemployment,total,2022,national_vs_province,9999,percent,"{""national"": ""5.86"", ""province_count"": ""34"", ""province_unweighted_mean"": ""4.9662""}",0.8938,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
d707bd655d1b69700390,education,national_province_granularity,sdg04_completion_rate,smp,2021,national_vs_province,9999,percent,"{""national"": ""88.88"", ""province_count"": ""34"", ""province_unweighted_mean"": ""88.3226""}",0.5574,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
d766203897b0329f782c,economy,release_value_difference,sdg08_gdp_per_capita_growth,total,2021,national,9999,percent,"{""bps_tpb_2024"": ""2.52"", ""bps_tpb_2025"": ""2.76"", ""bps_webapi"": ""2.52""}",0.24,published_release_change,R04,vintage_observed,vintage,observed,yes,Two dated official publications report different values for the same aligned cell,vintage_observed,vintage,observed,no,,,
