repetition,scenario_id,treatment_id,table,baseline_objects,baseline_bytes,after_objects,after_bytes,delta_objects,delta_bytes,baseline_data_bytes,after_data_bytes,baseline_rows,after_rows,baseline_snapshots,after_snapshots
3,sweep_002,B2,kkciv.sweep.b2_panel_selected,9,316594,12,342565,3,25971,289764,290071,5378,5378,1,1
3,sweep_002,B3,kkciv.sweep.b3_panel_current,15,369554,17,384070,2,14516,288809,289253,5378,5378,1,1
3,sweep_002,B3,kkciv.sweep.b3_panel_observation_vintages,28,561563,32,597662,4,36099,473831,485865,6983,6985,1,1
3,sweep_004,B0,kkciv.sweep.b0_panel_current,15,373373,17,386787,2,13414,297074,297474,5378,5378,1,1
3,sweep_004,B1,kkciv.sweep.b1_panel_full_snapshots,36,889847,45,1358334,9,468487,760833,1191512,10106,15484,4,5
3,sweep_004,B2,kkciv.sweep.b2_panel_selected,9,316594,12,342598,3,26004,289764,290104,5378,5378,1,1
3,sweep_004,B3,kkciv.sweep.b3_panel_current,15,369809,17,383955,2,14146,289084,289152,5378,5378,1,1
3,sweep_004,B3,kkciv.sweep.b3_panel_observation_vintages,28,561563,32,597806,4,36243,473831,486011,6983,6987,1,1
3,sweep_008,B0,kkciv.sweep.b0_panel_current,15,373366,17,386972,2,13606,297074,297688,5378,5378,1,1
3,sweep_008,B1,kkciv.sweep.b1_panel_full_snapshots,36,889864,45,1358578,9,468714,760833,1191722,10106,15484,4,5
3,sweep_008,B2,kkciv.sweep.b2_panel_selected,9,316590,12,342697,3,26107,289764,290204,5378,5378,1,1
3,sweep_008,B3,kkciv.sweep.b3_panel_current,15,369818,17,384163,2,14345,289084,289365,5378,5378,1,1
3,sweep_008,B3,kkciv.sweep.b3_panel_observation_vintages,28,561585,32,598058,4,36473,473831,486236,6983,6991,1,1
3,sweep_016,B0,kkciv.sweep.b0_panel_current,15,373358,17,387242,2,13884,297074,297952,5378,5378,1,1
3,sweep_016,B1,kkciv.sweep.b1_panel_full_snapshots,36,889880,45,1358867,9,468987,760833,1191994,10106,15484,4,5
3,sweep_016,B2,kkciv.sweep.b2_panel_selected,9,316592,12,342845,3,26253,289764,290357,5378,5378,1,1
3,sweep_016,B3,kkciv.sweep.b3_panel_current,15,369825,17,384439,2,14614,289084,289630,5378,5378,1,1
3,sweep_016,B3,kkciv.sweep.b3_panel_observation_vintages,28,561579,32,598513,4,36934,473831,486693,6983,6999,1,1
3,sweep_038,B0,kkciv.sweep.b0_panel_current,15,373364,17,387823,2,14459,297074,298524,5378,5378,1,1
3,sweep_038,B1,kkciv.sweep.b1_panel_full_snapshots,36,889879,45,1359566,9,469687,760833,1192687,10106,15484,4,5
3,sweep_038,B2,kkciv.sweep.b2_panel_selected,9,316595,12,342960,3,26365,289764,290459,5378,5378,1,1
3,sweep_038,B3,kkciv.sweep.b3_panel_current,15,369826,17,384838,2,15012,289084,290024,5378,5378,1,1
3,sweep_038,B3,kkciv.sweep.b3_panel_observation_vintages,28,561561,32,599427,4,37866,473831,487618,6983,7021,1,1
