indicator_key,domain,indicator_name,rank,match_score,webapi_domain_id,webapi_variable_id,webapi_title,subject_id,subject_name
sdg04_basic_services,education,Sekolah dengan layanan dasar air listrik sanitasi,4,0.3601,0000,2496,"Indeks Harga Perdagangan Besar (IHPB) Seksi Bijih Besi dan Mineral; Listrik, Gas, dan Air (2023=100)",20,Harga Perdagangan Besar
sdg04_basic_services,education,Sekolah dengan layanan dasar air listrik sanitasi,5,0.3563,0000,1267,Proporsi Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sanitasi Layak,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_drinking_water,environment,Rumah tangga dengan akses air minum layak dan aman bila tersedia,1,0.5627,0000,854,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa,29,Perumahan
sdg06_drinking_water,environment,Rumah tangga dengan akses air minum layak dan aman bila tersedia,2,0.5615,0000,845,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi,29,Perumahan
sdg06_drinking_water,environment,Rumah tangga dengan akses air minum layak dan aman bila tersedia,3,0.5571,0000,1554,"Persentase Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sumber Air Minum Layak Dan Berkelanjutan (40% Bawah), Menurut Provinsi",181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_drinking_water,environment,Rumah tangga dengan akses air minum layak dan aman bila tersedia,4,0.5559,0000,1556,"Persentase Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sumber Air Minum Layak Dan Berkelanjutan (40% Bawah), Menurut Daerah Tempat Tinggal",181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_drinking_water,environment,Rumah tangga dengan akses air minum layak dan aman bila tersedia,5,0.5556,0000,2830,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak menurut Kabupaten/Kota,None,
sdg06_sanitation,environment,Rumah tangga dengan akses sanitasi layak dan aman,1,0.7020,0000,1267,Proporsi Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sanitasi Layak,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_sanitation,environment,Rumah tangga dengan akses sanitasi layak dan aman,2,0.6977,0000,847,Persentase Rumah Tangga menurut Provinsi dan Memiliki Akses terhadap Sanitasi Layak,29,Perumahan
sdg06_sanitation,environment,Rumah tangga dengan akses sanitasi layak dan aman,3,0.6947,0000,2748,6.2.1* Persentase rumah tangga yang memiliki akses terhadap sanitasi layak menurut kabupaten/kota,180,Tujuan Pembangunan Berkelanjutan 2025
sdg06_sanitation,environment,Rumah tangga dengan akses sanitasi layak dan aman,4,0.6925,0000,834,Persentase Rumah Tangga yang Memiliki Akses terhadap Sanitasi Layak Menurut Provinsi dan Klasifikasi Desa,29,Perumahan
sdg06_sanitation,environment,Rumah tangga dengan akses sanitasi layak dan aman,5,0.6868,0000,1270,Proporsi Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sanitasi Layak Menurut Daerah Tempat Tinggal,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_handwashing,environment,Rumah tangga dengan fasilitas cuci tangan dan sabun,1,0.8831,0000,1273,6.2.1* Persentase Rumah Tangga yang Memiliki Fasilitas Cuci Tangan dengan Sabun dan Air Menurut Provinsi,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_handwashing,environment,Rumah tangga dengan fasilitas cuci tangan dan sabun,2,0.8774,0000,1274,Proporsi Rumah Tangga Yang Memiliki Fasilitas Cuci Tangan Dengan Sabun Dan Air Menurut Daerah Tempat Tinggal,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_handwashing,environment,Rumah tangga dengan fasilitas cuci tangan dan sabun,3,0.8709,0000,2617,6.2.1* Persentase Rumah Tangga yang Memiliki Fasilitas Cuci Tangan dengan Sabun dan Air Menurut Kuintil Pengeluaran,180,Tujuan Pembangunan Berkelanjutan 2025
sdg06_handwashing,environment,Rumah tangga dengan fasilitas cuci tangan dan sabun,4,0.8699,0000,2623,6.2.1* Persentase Rumah Tangga yang Memiliki Fasilitas Cuci Tangan dengan Sabun dan Air Menurut Kelompok Pengeluaran,180,Tujuan Pembangunan Berkelanjutan 2025
sdg06_handwashing,environment,Rumah tangga dengan fasilitas cuci tangan dan sabun,5,0.8575,0000,2596,6.2.1* Persentase Rumah Tangga yang Memiliki Fasilitas Cuci Tangan dengan Sabun dan Air Menurut Jenis Kelamin Kepala Rumah Tangga,180,Tujuan Pembangunan Berkelanjutan 2025
sdg06_water_source,environment,Rumah tangga menurut jenis sumber air minum bersih,1,0.5806,0000,845,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi,29,Perumahan
sdg06_water_source,environment,Rumah tangga menurut jenis sumber air minum bersih,2,0.5659,0000,2830,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak menurut Kabupaten/Kota,None,
sdg06_water_source,environment,Rumah tangga menurut jenis sumber air minum bersih,3,0.5599,0000,854,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa,29,Perumahan
