source_id,indicator_key,series_key,release_date,observed_period,geo_level,geo_code,geo_name,unit,value,producer,methodology_version,source_record_id
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,1900,Kep. Bangka Belitung,percent,56.74,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1900;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,2100,Kep. Riau,percent,78.65,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=2100;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,3100,Dki Jakarta,percent,85.67,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3100;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,3200,Jawa Barat,percent,63.56,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3200;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,3300,Jawa Tengah,percent,55.82,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3300;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,3400,Di Yogyakarta,percent,87.99,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3400;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,3500,Jawa Timur,percent,63.53,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3500;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,3600,Banten,percent,64.24,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3600;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,5100,Bali,percent,74.88,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=5100;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,5200,Nusa Tenggara Barat,percent,64.66,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=5200;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,5300,Nusa Tenggara Timur,percent,50.65,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=5300;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,6100,Kalimantan Barat,percent,55.23,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=6100;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,6200,Kalimantan Tengah,percent,60.77,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=6200;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,6300,Kalimantan Selatan,percent,63.05,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=6300;turvar=1674;th=120;turth=0
bps_webapi,sdg04_completion_rate,sma.total,2026-09-08,2020,province,6400,Kalimantan Timur,percent,71.63,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=6400;turvar=1674;th=120;turth=0
