domain,indicator_key,series_key,observed_period,geo_level,geo_code,unit,geo_name,source_count,value_count,min_value,max_value,absolute_spread,status,observations_json
education,sdg04_completion_rate,sd.expenditure.q3,2017,national,9999,percent,Indonesia,1,1,95.92,95.92,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2017"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=117;turth=0"", ""unit"": ""percent"", ""value"": ""95.92""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2018,national,9999,percent,Indonesia,1,1,95.47,95.47,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2018"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=118;turth=0"", ""unit"": ""percent"", ""value"": ""95.47""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2019,national,9999,percent,Indonesia,1,1,95.86,95.86,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2019"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=119;turth=0"", ""unit"": ""percent"", ""value"": ""95.86""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2020,national,9999,percent,Indonesia,1,1,95.84,95.84,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""95.84""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2021,national,9999,percent,Indonesia,1,1,97.8,97.8,0.0,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2021"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=121;turth=0"", ""unit"": ""percent"", ""value"": ""97.8""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2022,national,9999,percent,Indonesia,2,1,98.14,98.14,0.00,exact_match,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-figure"", ""observed_period"": ""2022"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""page=46;figure=Gambar 4.2;series=sd.expenditure.q3;year=2022"", ""unit"": ""percent"", ""value"": ""98.14""}, {""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2022"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=122;turth=0"", ""unit"": ""percent"", ""value"": ""98.14""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2023,national,9999,percent,Indonesia,2,1,98.12,98.12,0.00,exact_match,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-figure"", ""observed_period"": ""2023"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""page=46;figure=Gambar 4.2;series=sd.expenditure.q3;year=2023"", ""unit"": ""percent"", ""value"": ""98.12""}, {""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2023"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=123;turth=0"", ""unit"": ""percent"", ""value"": ""98.12""}]"
education,sdg04_completion_rate,sd.expenditure.q4,2015,national,9999,percent,Indonesia,1,1,94.91,94.91,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2015"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q4"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=4;turvar=1672;th=115;turth=0"", ""unit"": ""percent"", ""value"": ""94.91""}]"
education,sdg04_completion_rate,sd.expenditure.q4,2016,national,9999,percent,Indonesia,1,1,95.92,95.92,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2016"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q4"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=4;turvar=1672;th=116;turth=0"", ""unit"": ""percent"", ""value"": ""95.92""}]"
education,sdg04_completion_rate,sd.expenditure.q4,2017,national,9999,percent,Indonesia,1,1,97.11,97.11,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2017"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q4"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=4;turvar=1672;th=117;turth=0"", ""unit"": ""percent"", ""value"": ""97.11""}]"
