metric,value,unit,interpretation
b0_sweep_001_official_recall,0.7700,ratio,5377 of 6983 published observations returned with the exact lexeme
b1_sweep_001_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b2_sweep_001_official_recall,0.7700,ratio,5377 of 6983 published observations returned with the exact lexeme
b3_sweep_001_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b0_sweep_002_official_recall,0.7699,ratio,5376 of 6983 published observations returned with the exact lexeme
b1_sweep_002_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b2_sweep_002_official_recall,0.7699,ratio,5376 of 6983 published observations returned with the exact lexeme
b3_sweep_002_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b0_sweep_004_official_recall,0.7696,ratio,5374 of 6983 published observations returned with the exact lexeme
b1_sweep_004_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b2_sweep_004_official_recall,0.7696,ratio,5374 of 6983 published observations returned with the exact lexeme
b3_sweep_004_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b0_sweep_008_official_recall,0.7690,ratio,5370 of 6983 published observations returned with the exact lexeme
b1_sweep_008_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b2_sweep_008_official_recall,0.7690,ratio,5370 of 6983 published observations returned with the exact lexeme
b3_sweep_008_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b0_sweep_016_official_recall,0.7679,ratio,5362 of 6983 published observations returned with the exact lexeme
b1_sweep_016_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b2_sweep_016_official_recall,0.7679,ratio,5362 of 6983 published observations returned with the exact lexeme
b3_sweep_016_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b0_sweep_038_official_recall,0.7647,ratio,5340 of 6983 published observations returned with the exact lexeme
b1_sweep_038_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
b2_sweep_038_official_recall,0.7647,ratio,5340 of 6983 published observations returned with the exact lexeme
b3_sweep_038_official_recall,1.0000,ratio,6983 of 6983 published observations returned with the exact lexeme
